@relation EmployeesSalary(1)-weka.filters.unsupervised.attribute.NominalToString-C2-5-weka.filters.unsupervised.attribute.NumericToNominal-R7-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.instance.RemoveDuplicates

@attribute first_name string
@attribute last_name string
@attribute email string
@attribute Address string
@attribute Country {China,U.S.A.,Germany,Mexico,Canada,Japan}
@attribute Branch {1,2,3,4,6,10}
@attribute Currency {CHY,USD,EUR,MXD,INR,CAD}
@attribute Salary numeric

@data
Falkner,Horlick,fhorlick3b@yandex.ru,'0245 Ruskin Trail',Mexico,4,MXD,29000
Burton,Dudden,bdudden39@japanpost.jp,'050 Nova Court',Mexico,4,INR,44444
Rodge,Sarfass,rsarfass3d@wired.com,'82 7th Hill',Mexico,4,MXD,15999
Alison,Lampert,alamperte@list-manage.com,'78 Express Plaza',U.S.A.,1,USD,27000
Hiralben,Prajapati,Hiralben_Prajapati@test.com,'412 Hiralben Street',Canada,10,CAD,19844
Yulma,Peyntue,ypeyntue26@mayoclinic.com,'3257 American Crossing',China,3,CHY,150000
Reade,McCumesky,rmccumesky2y@list-manage.com,'6766 Schmedeman Road',China,3,CHY,150000
Velma,Andraud,vandraud1x@issuu.com,'58 Harper Pass',Germany,2,EUR,96300
Sloane,Andrzejak,sandrzejak3t@netlog.com,'44 Troy Crossing',Mexico,4,MXD,40500
Carlye,Blunsen,cblunsen1o@admin.ch,'8131 Stephen Park',Germany,2,EUR,59500
Darcy,Addie,daddie1k@jalbum.net,'836 Marquette Pass',Germany,2,EUR,80500999
Cissy,Duley,cduley38@fotki.com,'198 Westerfield Way',Mexico,4,MXD,18000
Ingmar,Durward,idurwardd@jimdo.com,'38 Badeau Road',U.S.A.,1,USD,30000
Brittan,Timson,btimson32@yellowbook.com,'9 Crownhardt Way',China,3,CHY,150000
Malvin,Houdmont,mhoudmont2k@google.it,'654 7th Drive',China,3,CHY,190000
Murdock,Foucher,mfoucher3i@reverbnation.com,'84969 Waubesa Place',Mexico,4,MXD,39000
Alberik,Statton,astatton2a@stanford.edu,'822 Elka Crossing',China,3,CHY,190000
Lemmie,Nitti,lnitti0@wordpress.org,'20 Butterfield Junction',U.S.A.,1,USD,67000
Trenton,Keepence,tkeepence1y@skype.com,'27518 Merry Place',Germany,2,EUR,49000
Berny,Peschka,bpeschka2l@webs.com,'8 Ridgeway Alley',China,3,CHY,500000
Bibbye,Fallis,bfallis1a@blogspot.com,'05 Kedzie Avenue',Germany,2,EUR,89000
Aymer,Kilsby,akilsbya@scribd.com,'3 Washington Hill',Germany,1,USD,44000
Lorrie,Ogbourne,logbourne3r@time.com,'52 Grover Alley',Mexico,4,MXD,31000
Zora,Brewin,zbrewin2h@netvibes.com,'0281 Hintze Plaza',China,3,CHY,320000
Zenia,Aries,zaries31@ehow.com,'67 Ridgeview Avenue',China,3,CHY,150000
Matilde,Simmell,msimmell3f@seattletimes.com,'08 Messerschmidt Street',Mexico,4,MXD,25000
Gusti,Betz,gbetz45@reverbnation.com,'24821 Amoth Circle',Mexico,4,MXD,17800
Cal,Pettendrich,cpettendrich36@multiply.com,'11 Surrey Drive',Mexico,4,MXD,34000
Gilemette,MacKissack,gmackissack20@zdnet.com,'6899 Weeping Birch Park',Germany,2,EUR,60000
Lazaro,Mudle,lmudle2t@dion.ne.jp,'12744 Pierstorff Trail',China,3,CHY,150000
Arthur,Risman,arisman19@globo.com,'6 Northwestern Junction',Germany,2,EUR,72000
Chelsie,Mulles,cmulles3x@amazon.co.uk,'8 Talmadge Circle',Mexico,6,MXD,36000
Sibby,Sheeran,ssheeran3z@cam.ac.uk,'87502 Moland Hill',Mexico,4,MXD,75000
Kerrie,Middlehurst,kmiddlehurstl@bigcartel.com,'59845 Green Ridge Way',U.S.A.,1,USD,86000
Temp,Geratt,tgerattb@cyberchimps.com,'262 Bonner Plaza',U.S.A.,1,USD,100000
Lenora,Beggan,lbeggan1i@howstuffworks.com,'36266 Clarendon Alley',Germany,2,EUR,37028
Micheil,Mendez,mmendez2q@earthlink.net,'6423 Sauthoff Alley',China,3,CHY,140000
Brinn,Barracks,bbarracks1q@examiner.com,'9782 Dovetail Park',Germany,2,EUR,70000
Johan,Cherrie,jcherriep@twitter.com,'616 Barby Pass',U.S.A.,1,USD,22000
Shell,Dadge,sdadge3h@ezinearticles.com,'70 Arrowood Way',Mexico,4,MXD,54000
Cherise,Wellman,cwellman3j@ucsd.edu,'03592 Schiller Park',Mexico,4,MXD,24500
Elsworth,Skells,eskells35@spotify.com,'54486 Carberry Park',Mexico,4,CHY,110000
Marris,Reace,mreace15@statcounter.com,'43753 Forest Run Lane',Germany,2,EUR,33163
Kathie,Berndtsson,kberndtsson5@usnews.com,'05802 Meadow Ridge Alley',U.S.A.,1,USD,21000
Tina,Savage,tsavage2z@netlog.com,'65079 Loomis Pass',China,3,CHY,150000
Hobart,Truscott,htruscott12@hao123.com,'5 Loftsgordon Drive',Germany,2,EUR,44785
Melantha,Butland,mbutland10@theatlantic.com,'28 School Way',U.S.A.,1,USD,100000
Camile,Hegg,chegg3s@deliciousdays.com,'382 Buell Lane',Mexico,4,MXD,34000
Richmond,Pretsell,rpretsell1l@fc2.com,'97908 Canary Trail',Germany,2,EUR,51600
Obed,Yesinov,oyesinov2f@adobe.com,'606 Farragut Hill',China,3,CHY,890000
Marjie,Phython,mphythonu@macromedia.com,'24819 Carey Place',U.S.A.,1,USD,35000
Jameson,Lerigo,jlerigo2x@comsenz.com,'26 Graedel Street',China,3,MXD,150000
Natty,Visick,nvisick1u@lulu.com,'2 Merry Avenue',Germany,2,EUR,95000
Clarissa,Munning,cmunning27@google.com.au,'98855 Carpenter Junction',China,3,CHY,360000
Siegfried,Ingledow,singledown@lulu.com,'4792 Victoria Trail',U.S.A.,1,USD,30000
Boigie,Daouze,bdaouze3n@livejournal.com,'01783 Veith Trail',Mexico,4,MXD,15000
Marline,Goatman,mgoatman28@wikia.com,'936 Canary Way',China,3,CHY,150000
Darryl,Hanscombe,dhanscombeq@theglobeandmail.com,'4 Old Shore Lane',U.S.A.,1,USD,50000
Muffin,Balsellie,mbalsellie37@indiegogo.com,'0589 Ludington Crossing',Mexico,4,MXD,30000
Fawn,Onge,fonge6@deviantart.com,'3966 Banding Park',U.S.A.,1,USD,80000
Gaspard,Benardet,gbenardet41@alexa.com,'21 Annamark Hill',Mexico,4,MXD,40000
Misha,Tunna,mtunnaj@dailymotion.com,'15 Kipling Drive',U.S.A.,1,USD,42000999
Corbett,Cardo,ccardow@cargocollective.com,'827 Havey Center',U.S.A.,1,USD,62000
Ingeberg,Scholcroft,ischolcroft33@rakuten.co.jp,'76 Red Cloud Plaza',China,3,CHY,150000
Sayre,Joust,sjoust25@tamu.edu,'025 Schiller Drive',China,3,CHY,240000
Seth,Gobbett,sgobbett9@ezinearticles.com,'00 Stephen Crossing',U.S.A.,1,USD,24000
Lamar,Smither,lsmither3m@cpanel.net,'9 Arizona Park',Mexico,4,MXD,27500
Celeste,Tabbitt,ctabbitt2o@privacy.gov.au,'10 Moland Circle',China,3,CHY,190000
Carlie,Matschke,cmatschkeg@yellowbook.com,'34 Gina Place',U.S.A.,1,USD,18000
Humberto,Stranieri,hstranieri1j@bbb.org,'6 Surrey Parkway',Germany,2,EUR,46000
Carmine,Juleff,cjuleff3o@amazon.com,'066 Dahle Pass',Mexico,4,MXD,18000
Cherise,Wison,cwison2v@php.net,'7984 Coleman Park',China,3,CHY,150000
Helyn,Dassindale,hdassindale3v@google.ru,'84 Crest Line Parkway',Mexico,4,MXD,28000
Gabriel,Paradise,gparadiseh@wordpress.com,'852 Pleasure Hill',U.S.A.,1,USD,56000
Tracey,Dunster,tdunster3y@surveymonkey.com,'619 Sunfield Hill',Mexico,4,MXD,46099
Vina,McRobert,vmcrobert2m@unicef.org,'641 Reindahl Center',China,3,CHY,240000
Fabio,Stopper,fstopper3q@weather.com,'39393 Superior Plaza',Mexico,4,MXD,51000
Neron,Menendez,nmenendez1v@networkadvertising.org,'72 Knutson Point',Germany,2,EUR,44638
Reinwald,Taudevin,rtaudevin3a@mayoclinic.com,'402 Continental Hill',Mexico,4,MXD,70000
Tallulah,Ferronet,tferronet2d@fotki.com,'407 Darwin Crossing',China,3,CHY,600000
Isadore,Morville,imorvillex@vimeo.com,'8716 Canary Parkway',U.S.A.,1,USD,31000
Garvey,MacCosto,gmaccosto3c@pbs.org,'61 Springview Pass',Mexico,4,MXD,45800
Amalle,Celes,aceles2r@hc360.com,'7944 Annamark Court',China,3,CHY,150500
Hailey,Edghinn,hedghinn17@acquirethisname.com,'05 Namekagon Parkway',Germany,2,EUR,45000
Abe,Ghelardoni,aghelardoni42@prweb.com,'47 Spohn Drive',Mexico,4,MXD,36400
Karyn,Mallindine,kmallindine1c@statcounter.com,'16334 Michigan Circle',Germany,2,EUR,89000
Sutherland,Arro,sarro8@admin.ch,'9950 Pawling Alley',U.S.A.,1,USD,50056
Chloris,Hebborne,chebbornem@hexun.com,'0582 Myrtle Road',U.S.A.,1,USD,36000
Lolita,Fernihough,lfernihough14@studiopress.com,'98 Sachs Parkway',Germany,2,EUR,100000
Egor,Trudgeon,etrudgeon1n@tumblr.com,'0475 Luster Trail',Germany,2,EUR,70000
Lincoln,Augustine,laugustine2s@skyrock.com,'2946 Manley Court',China,3,CHY,150000
Nissie,Burney,nburneyr@paginegialle.it,'34 Dovetail Point',U.S.A.,1,USD,26500
Darby,Mandell,dmandell1z@ovh.net,'922 Sachs Avenue',Germany,2,EUR,38000
Fonzie,Rasell,frasell44@eepurl.com,'991 Scoville Trail',Mexico,4,MXD,46888
Lavinia,Thorneloe,lthorneloe1f@ameblo.jp,'09 Huxley Pass',Germany,2,EUR,95000
Sylvia,Holborn,sholborn13@paypal.com,'83094 Packers Alley',Germany,2,EUR,69000
Dur,Atlee,datlee3k@hugedomains.com,'39084 Thackeray Center',Mexico,4,MXD,46000
Cesaro,Kinnock,ckinnock18@liveinternet.ru,'518 Center Way',Germany,2,EUR,50000
Clarette,Headford,cheadford23@flickr.com,'674 International Plaza',Germany,2,EUR,70000
Wittie,Guarin,wguarint@vkontakte.ru,'3 Graceland Hill',U.S.A.,1,USD,39200
Bel,Hodgin,bhodgin2g@msu.edu,'60 Bellgrove Court',Japan,3,CHY,400000
Katina,Borel,kborelo@github.io,'629 Hansons Terrace',U.S.A.,1,USD,68000
Stuart,Dello,sdeldello3u@msu.edu,'8669 Warner Park',Mexico,4,MXD,31000
Rosalia,Boseley,rboseleyi@sfgate.com,'97917 Brentwood Alley',U.S.A.,1,USD,60000
Feodor,Tine,ftine1e@flickr.com,'04 Moland Point',Germany,2,EUR,32000
Olivie,Knightly,oknightly34@godaddy.com,'04375 Bunting Pass',China,3,CHY,150000
Saundra,Morphey,smorphey43@diigo.com,'63 Red Cloud Parkway',Mexico,4,MXD,28000
Nettle,Gleadhall,ngleadhall3@umn.edu,'511 Loftsgordon Plaza',U.S.A.,1,USD,29000
Aurore,Grece,agrece24@technorati.com,'093 Stuart Place',China,3,CHY,180000
Georgine,Racher,gracherf@webeden.co.uk,'68311 Lake View Park',U.S.A.,1,USD,42500
Nelson,McRinn,nmcrinn3p@economist.com,'56053 Buell Terrace',Mexico,2,MXD,19999
Briana,Catchpole,bcatchpole2c@over-blog.com,'19005 Bluejay Park',China,3,CHY,900000
